route_id,departure_datetime_local,dep_time,weekday,month,date,capacity_pax,avg_ticket_price,price_index,is_holiday_proxy,sea_bad_proxy,slot_key,pax_lag_1w,pax_lag_2w,pax_roll_mean_20,pax_roll_std_20,delay_roll_mean_20,pax_pred_ml,occ_pred_ml,flag,action
DEN-FOR,2026-01-01 08:00:00,08:00,3,1,2026-01-01,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|3|08:00,477,373,566.3,93.73652885671234,8.0,559.4283447265625,0.6215870496961805,NORMAL,Monitor estándar
DEN-FOR,2026-01-01 12:00:00,12:00,3,1,2026-01-01,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|3|12:00,658,490,566.3,93.73652885671234,8.0,516.2720947265625,0.5736356608072917,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-FOR,2026-01-01 17:00:00,17:00,3,1,2026-01-01,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|3|17:00,518,496,566.3,93.73652885671234,8.0,520.5828857421875,0.5784254286024305,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-IBZ,2026-01-01 08:00:00,08:00,3,1,2026-01-01,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|3|08:00,614,555,682.25,109.62177799381975,8.2,606.4429321289062,0.6738254801432292,NORMAL,Monitor estándar
DEN-IBZ,2026-01-01 12:00:00,12:00,3,1,2026-01-01,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|3|12:00,699,613,682.25,109.62177799381975,8.2,610.486572265625,0.6783184136284722,NORMAL,Monitor estándar
DEN-IBZ,2026-01-01 17:00:00,17:00,3,1,2026-01-01,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|3|17:00,630,585,682.25,109.62177799381975,8.2,612.2771606445312,0.6803079562717014,NORMAL,Monitor estándar
DEN-PMI,2026-01-01 08:00:00,08:00,3,1,2026-01-01,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|3|08:00,479,475,531.35,93.05305504190379,4.3,496.6383361816406,0.4138652801513672,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-PMI,2026-01-01 12:00:00,12:00,3,1,2026-01-01,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|3|12:00,581,433,531.35,93.05305504190379,4.3,495.6305847167969,0.4130254872639974,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-PMI,2026-01-01 17:00:00,17:00,3,1,2026-01-01,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|3|17:00,526,552,531.35,93.05305504190379,4.3,473.9322509765625,0.39494354248046876,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-01 08:00:00,08:00,3,1,2026-01-01,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|3|08:00,378,428,431.9,78.04175670417526,6.75,374.0419006347656,0.3117015838623047,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-01 12:00:00,12:00,3,1,2026-01-01,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|3|12:00,363,411,431.9,78.04175670417526,6.75,374.1123046875,0.31176025390625,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-01 17:00:00,17:00,3,1,2026-01-01,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|3|17:00,477,397,431.9,78.04175670417526,6.75,380.9300842285156,0.31744173685709637,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-FOR,2026-01-02 08:00:00,08:00,4,1,2026-01-02,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|4|08:00,449,529,566.3,93.73652885671234,8.0,608.9795532226562,0.6766439480251736,NORMAL,Monitor estándar
DEN-FOR,2026-01-02 12:00:00,12:00,4,1,2026-01-02,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|4|12:00,528,525,566.3,93.73652885671234,8.0,603.8212890625,0.6709125434027777,NORMAL,Monitor estándar
DEN-FOR,2026-01-02 17:00:00,17:00,4,1,2026-01-02,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|4|17:00,608,486,566.3,93.73652885671234,8.0,611.3616943359375,0.679290771484375,NORMAL,Monitor estándar
DEN-IBZ,2026-01-02 08:00:00,08:00,4,1,2026-01-02,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|4|08:00,633,504,682.25,109.62177799381975,8.2,792.4224243164062,0.8804693603515625,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación
DEN-IBZ,2026-01-02 12:00:00,12:00,4,1,2026-01-02,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|4|12:00,782,591,682.25,109.62177799381975,8.2,750.6350708007812,0.8340389675564236,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación
DEN-IBZ,2026-01-02 17:00:00,17:00,4,1,2026-01-02,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|4|17:00,763,687,682.25,109.62177799381975,8.2,746.9971313476562,0.829996812608507,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación
DEN-PMI,2026-01-02 08:00:00,08:00,4,1,2026-01-02,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|4|08:00,449,440,531.35,93.05305504190379,4.3,572.8002319335938,0.4773335266113281,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-PMI,2026-01-02 12:00:00,12:00,4,1,2026-01-02,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|4|12:00,653,469,531.35,93.05305504190379,4.3,602.78271484375,0.5023189290364584,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-PMI,2026-01-02 17:00:00,17:00,4,1,2026-01-02,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|4|17:00,577,489,531.35,93.05305504190379,4.3,570.4942016601562,0.4754118347167969,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-02 08:00:00,08:00,4,1,2026-01-02,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|4|08:00,352,400,431.9,78.04175670417526,6.75,419.80584716796875,0.3498382059733073,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-02 12:00:00,12:00,4,1,2026-01-02,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|4|12:00,444,434,431.9,78.04175670417526,6.75,439.30426025390625,0.36608688354492186,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-02 17:00:00,17:00,4,1,2026-01-02,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|4|17:00,481,411,431.9,78.04175670417526,6.75,432.91851806640625,0.3607654317220052,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-FOR,2026-01-03 08:00:00,08:00,5,1,2026-01-03,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|5|08:00,608,471,566.3,93.73652885671234,8.0,675.4224853515625,0.7504694281684028,NORMAL,Monitor estándar
DEN-FOR,2026-01-03 12:00:00,12:00,5,1,2026-01-03,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|5|12:00,637,555,566.3,93.73652885671234,8.0,681.6348266601562,0.7573720296223958,NORMAL,Monitor estándar
DEN-FOR,2026-01-03 17:00:00,17:00,5,1,2026-01-03,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|5|17:00,752,687,566.3,93.73652885671234,8.0,701.0577392578125,0.7789530436197917,NORMAL,Monitor estándar
DEN-IBZ,2026-01-03 08:00:00,08:00,5,1,2026-01-03,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|5|08:00,629,681,682.25,109.62177799381975,8.2,831.29638671875,0.9236626519097222,ROJO,Evaluar refuerzo/cambio buque + ajustar inventario/precio
DEN-IBZ,2026-01-03 12:00:00,12:00,5,1,2026-01-03,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|5|12:00,716,647,682.25,109.62177799381975,8.2,823.0399169921875,0.9144887966579861,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación
DEN-IBZ,2026-01-03 17:00:00,17:00,5,1,2026-01-03,900,53.29087191376255,1.0454282708770732,0.033646322378716745,0.12793427230046947,DEN-IBZ|5|17:00,716,730,682.25,109.62177799381975,8.2,804.8358154296875,0.8942620171440973,ÁMBAR,Monitorizar curva D-14/D-7 y microajustes precio/comunicación
DEN-PMI,2026-01-03 08:00:00,08:00,5,1,2026-01-03,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|5|08:00,552,526,531.35,93.05305504190379,4.3,654.5679321289062,0.5454732767740885,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-PMI,2026-01-03 12:00:00,12:00,5,1,2026-01-03,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|5|12:00,525,621,531.35,93.05305504190379,4.3,639.87109375,0.5332259114583333,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-PMI,2026-01-03 17:00:00,17:00,5,1,2026-01-03,1200,47.36217803102025,1.0524928451337832,0.03407880724174654,0.12513312034078808,DEN-PMI|5|17:00,699,610,531.35,93.05305504190379,4.3,685.5804443359375,0.5713170369466146,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-03 08:00:00,08:00,5,1,2026-01-03,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|5|08:00,428,517,431.9,78.04175670417526,6.75,518.5856323242188,0.4321546936035156,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-03 12:00:00,12:00,5,1,2026-01-03,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|5|12:00,539,463,431.9,78.04175670417526,6.75,537.4935913085938,0.4479113260904948,VERDE,Activar promo táctica / bundles / campañas por ruta
VAL-IBZ,2026-01-03 17:00:00,17:00,5,1,2026-01-03,1200,47.275123800423444,1.0505583066760766,0.03407880724174654,0.12513312034078808,VAL-IBZ|5|17:00,612,619,431.9,78.04175670417526,6.75,538.439697265625,0.4486997477213542,VERDE,Activar promo táctica / bundles / campañas por ruta
DEN-FOR,2026-01-04 08:00:00,08:00,6,1,2026-01-04,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|6|08:00,454,616,566.3,93.73652885671234,8.0,623.1995849609375,0.6924439832899305,NORMAL,Monitor estándar
DEN-FOR,2026-01-04 12:00:00,12:00,6,1,2026-01-04,900,53.25538972718772,1.0465559257997552,0.033646322378716745,0.12793427230046947,DEN-FOR|6|12:00,690,552,566.3,93.73652885671234,8.0,627.653076171875,0.6973923068576389,NORMAL,Monitor estándar
